Programme,Session,Conférence,Jour,Début,Fin,Modérateur,Intervenants,Salle,Droit
AVEF,Les bonnes pratiques de la prescription de maréchalerie,Les structures à protéger dans le pied,Mardi,14h00,14h30,B. Baup,L. d’Arpe,Pays-Bas,AM1
AVEF,Les bonnes pratiques de la prescription de maréchalerie,La gestion des seimes,Mardi,14h30,15h00,B. Baup,P. Doffemont,Pays-Bas,AM1
AVEF,Les bonnes pratiques de la prescription de maréchalerie,La gestion de la ligne blanche,Mardi,15h00,15h30,B. Baup,A. Zaccone,Pays-Bas,AM1
AVEF,Les bonnes pratiques de la prescription de maréchalerie,Lexique des termes de maréchalerie à employer pour une bonne communication vétérinaire/maréchal,Mardi,15h30,16h00,B. Baup,M. Gilson,Pays-Bas,AM1
AVEF,Les bonnes pratiques de la prescription de maréchalerie,Les outils d’aide au diagnostic et la prescription. Ce que l’on voudrait faire et ce que l’on peut faire. L’ordonnance raisonnée,Mardi,16h00,16h30,B. Baup,D. Leveillard/B. Baup,Pays-Bas,AM1
AVEF,Les bonnes pratiques de la prescription de maréchalerie,Panel de ferrures mécaniques transformées,Mardi,16h30,17h00,B. Baup,A. Zaccone,Pays-Bas,AM1
AVEF,Les bonnes pratiques de la prescription de maréchalerie,Nouvelles techniques. Nouveaux matériaux. Ce qu’il faut savoir,Mardi,17h00,17h30,B. Baup,M. Paricio,Pays-Bas,AM1
AVEF,AG de l'AVEF,NA,Mardi,18h00,19h00,NA,NA,Amphithéatre,gratuit
AVEF/SNVEL,Conférence-Débat Bien-Être Animal,NA,Mardi,19h00,20h30,NA,NA,Amphithéatre,gratuit
AVEF,Gouters des Commissions,NA,Mardi,14h00,17h30,NA,NA,Italie/Espagne,GdC
AVEF,1965-2015 : 50 ans tournés vers l’avenir !,Introduction «historique» de l’AVEF,Mercredi,08h30,08h45,J-Y Gauchot,R. Corde,Amphithéatre,Jour1
AVEF,1965-2015 : 50 ans tournés vers l’avenir !,Évolution de la médecine vétérinaire.,Mercredi,08h45,09h45,J-Y Gauchot,C. Degueurce,Amphithéatre,Jour1
AVEF,1965-2015 : 50 ans tournés vers l’avenir !,Que pourrait être l’AVEF demain ?,Mercredi,09h45,10h00,J-Y Gauchot,C-F. Louf/E. Richard,Amphithéatre,Jour1
AVEF,Maréchalerie sur le parvis,Development of a dynamic biomechanical system for the analysis of biometric data in the equine locomotor apparatus,Mercredi,08h30,09h00,B. Baup,D. Cellaro,Grèce,AM1
AVEF,Maréchalerie sur le parvis,Preliminary biometric analysis of the equine digit by means of a dynamic biomechanical system,Mercredi,09h00,09h30,B. Baup,D. Cellaro,Grèce,AM1
AVEF,Maréchalerie sur le parvis,Le Dondolino ou ferrure amovible pour la nuit ou le repos : intérêt pour la santé du pied,Mercredi,09h30,10h00,B. Baup,L. d’Arpe,Grèce,AM1
SNVEL,Le mandat sanitaire a toujours une place dans nos activités libérales !,Visites sanitaires obligatoires en élevage : avicole apicole petits ruminants porcine bovine et aussi canine !,Mercredi,08h30,09h00,NA,J. Frasson,Espagne,Jour1
SNVEL,Le mandat sanitaire a toujours une place dans nos activités libérales !,Certification à l’export : faut-il signer ?,Mercredi,09h00,09h30,NA,L. Perrin,Espagne,Jour1
SNVEL,Le mandat sanitaire a toujours une place dans nos activités libérales !,Tuberculose : une menace pour les élevages bovins ? Plan national et négociations sur la tarification.,Mercredi,09h30,10h00,NA,L. Perrin,Espagne,Jour1
AVEF,Échographie : Ce que l’on doit voir et ne pas voir …,Démo en live : Échographie du larynx.,Mercredi,10h45,11h15,F. Audigié - CV sur scène,A. Lechartier,Amphithéatre,Jour1
AVEF,Échographie : Ce que l’on doit voir et ne pas voir …,Démo en live : Échographie thoracique & abdominale.,Mercredi,11h15,12h15,F. Audigié - CV sur scène,V. Busoni,Amphithéatre,Jour1
AVEF,Médecine vétérinaire factuelle,How I quack and what is the evidence for my quackery?,Mercredi,10h45,11h45,A. Couroucé-Malblanc (UK speaking),K. Corley,Pays-Bas,Jour1
AVEF,Médecine vétérinaire factuelle,Corticostéroides et cartilage articulaire : les études chez l’animal ont-elles tout dit ?,Mercredi,11h45,12h15,A. Couroucé-Malblanc (UK speaking),J-M. Vandeweerd,Pays-Bas,Jour1
AVEF,Maréchalerie sur le parvis,La ferrure du cheval de sport aux USA,Mercredi,10h45,11h15,B. Baup,M. Paricio,Grèce,AM1
